= Start
@ /home/utnso/Desarrollo/Workspace/2012-1c-los-altos/commons/Debug/libcommons.so:[0x330a4a] - 0x806a7c8
@ /lib/i386-linux-gnu/libc.so.6:(__strdup+0x31)[0x21c371] + 0x806a7c8 0xa
@ /home/utnso/Desarrollo/Workspace/2012-1c-los-altos/commons/Debug/libcommons.so:(string_split+0x74)[0x331662] + 0x806a7a8 0x4
@ /lib/i386-linux-gnu/libc.so.6:(__strdup+0x31)[0x21c371] + 0x806a7b8 0x8
@ /home/utnso/Desarrollo/Workspace/2012-1c-los-altos/commons/Debug/libcommons.so:(string_split+0x74)[0x331662] < 0x806a7a8
@ /home/utnso/Desarrollo/Workspace/2012-1c-los-altos/commons/Debug/libcommons.so:(string_split+0x74)[0x331662] > 0x806a7a8 0x8
@ /lib/i386-linux-gnu/libc.so.6:(__strdup+0x31)[0x21c371] + 0x806a830 0x2
@ /home/utnso/Desarrollo/Workspace/2012-1c-los-altos/commons/Debug/libcommons.so:(string_split+0xce)[0x3316bc] < 0x806a7a8
@ /home/utnso/Desarrollo/Workspace/2012-1c-los-altos/commons/Debug/libcommons.so:(string_split+0xce)[0x3316bc] > 0x806a7a8 0xc
@ /home/utnso/Desarrollo/Workspace/2012-1c-los-altos/commons/Debug/libcommons.so:(string_split+0xee)[0x3316dc] - 0x806a7c8
@ /home/utnso/Desarrollo/Workspace/2012-1c-los-altos/commons/Debug/libcommons.so:[0x32fb0e] + 0x806a840 0x10
@ /home/utnso/Desarrollo/Workspace/2012-1c-los-altos/commons/Debug/libcommons.so:[0x330a4a] - 0x806a7a8
@ /lib/i386-linux-gnu/libc.so.6:(__strdup+0x31)[0x21c371] + 0x806a858 0x13
@ /home/utnso/Desarrollo/Workspace/2012-1c-los-altos/commons/Debug/libcommons.so:(string_split+0x74)[0x331662] + 0x806a7a8 0x4
@ /lib/i386-linux-gnu/libc.so.6:(__strdup+0x31)[0x21c371] + 0x806a7c8 0x8
@ /home/utnso/Desarrollo/Workspace/2012-1c-los-altos/commons/Debug/libcommons.so:(string_split+0x74)[0x331662] < 0x806a7a8
@ /home/utnso/Desarrollo/Workspace/2012-1c-los-altos/commons/Debug/libcommons.so:(string_split+0x74)[0x331662] > 0x806a7a8 0x8
@ /lib/i386-linux-gnu/libc.so.6:(__strdup+0x31)[0x21c371] + 0x806a870 0xb
@ /home/utnso/Desarrollo/Workspace/2012-1c-los-altos/commons/Debug/libcommons.so:(string_split+0xce)[0x3316bc] < 0x806a7a8
@ /home/utnso/Desarrollo/Workspace/2012-1c-los-altos/commons/Debug/libcommons.so:(string_split+0xce)[0x3316bc] > 0x806a7a8 0xc
@ /home/utnso/Desarrollo/Workspace/2012-1c-los-altos/commons/Debug/libcommons.so:(string_split+0xee)[0x3316dc] - 0x806a858
@ /home/utnso/Desarrollo/Workspace/2012-1c-los-altos/commons/Debug/libcommons.so:[0x32fb0e] + 0x806a858 0x10
@ /home/utnso/Desarrollo/Workspace/2012-1c-los-altos/commons/Debug/libcommons.so:[0x330a4a] - 0x806a7a8
@ /lib/i386-linux-gnu/libc.so.6:(__strdup+0x31)[0x21c371] + 0x806a8d8 0x10
@ /home/utnso/Desarrollo/Workspace/2012-1c-los-altos/commons/Debug/libcommons.so:(string_split+0x74)[0x331662] + 0x806a7a8 0x4
@ /lib/i386-linux-gnu/libc.so.6:(__strdup+0x31)[0x21c371] + 0x806a8f0 0xa
@ /home/utnso/Desarrollo/Workspace/2012-1c-los-altos/commons/Debug/libcommons.so:(string_split+0x74)[0x331662] < 0x806a7a8
@ /home/utnso/Desarrollo/Workspace/2012-1c-los-altos/commons/Debug/libcommons.so:(string_split+0x74)[0x331662] > 0x806a7a8 0x8
@ /lib/i386-linux-gnu/libc.so.6:(__strdup+0x31)[0x21c371] + 0x806a900 0x6
@ /home/utnso/Desarrollo/Workspace/2012-1c-los-altos/commons/Debug/libcommons.so:(string_split+0xce)[0x3316bc] < 0x806a7a8
@ /home/utnso/Desarrollo/Workspace/2012-1c-los-altos/commons/Debug/libcommons.so:(string_split+0xce)[0x3316bc] > 0x806a7a8 0xc
@ /home/utnso/Desarrollo/Workspace/2012-1c-los-altos/commons/Debug/libcommons.so:(string_split+0xee)[0x3316dc] - 0x806a8d8
@ /home/utnso/Desarrollo/Workspace/2012-1c-los-altos/commons/Debug/libcommons.so:[0x32fb0e] + 0x806a8d8 0x10
